device_pin_id,ball,power_domain_id
ID_3282,K21,ID_3272
ID_3285,L20,ID_3272
ID_3288,MMC1_CLKLB,ID_3272
ID_3290,J19,ID_3272
ID_3293,D19,ID_3088
ID_3296,C20,ID_3088
ID_3299,E18,ID_3088
ID_3301,F16,ID_3088
ID_3303,E17,ID_3088
ID_3305,G20,ID_3306
ID_3309,F20,ID_3306
ID_3312,E21,ID_3306
ID_3315,D20,ID_3306
ID_3318,G21,ID_3306
ID_3321,F21,ID_3306
ID_3324,F19,ID_3306
ID_3327,E20,ID_3306
ID_3332,Y15,ID_3333
ID_3339,Y16,ID_3333
ID_3343,AA16,ID_3333
ID_3347,AA17,ID_3333
ID_3351,W16,ID_3333
ID_3354,W17,ID_3333
ID_3357,T13,ID_3333
ID_3361,AA19,ID_3362
ID_3364,AA20,ID_3362
ID_3366,U17,ID_3362
ID_3368,E19,ID_3088
ID_3371,U16,ID_3362
ID_3373,T14,ID_3362
ID_3375,D5,ID_3376
ID_3379,F1,ID_3376
ID_3381,E1,ID_3376
ID_3383,H1,ID_3376
ID_3385,D2,ID_3376
ID_3387,C5,ID_3376
ID_3389,E2,ID_3376
ID_3391,D4,ID_3376
ID_3393,D3,ID_3376
ID_3395,F2,ID_3376
ID_3397,J2,ID_3376
ID_3399,L5,ID_3376
ID_3401,J3,ID_3376
ID_3403,J4,ID_3376
ID_3405,K3,ID_3376
ID_3407,J1,ID_3376
ID_3409,M5,ID_3376
ID_3411,K4,ID_3376
ID_3413,H4,ID_3376
ID_3415,J5,ID_3376
ID_3417,F6,ID_3376
ID_3419,H2,ID_3376
ID_3421,G4,ID_3376
ID_3423,G5,ID_3376
ID_3425,G2,ID_3376
ID_3427,H3,ID_3376
ID_3429,K5,ID_3376
ID_3431,E3,ID_3376
ID_3433,E5,ID_3376
ID_3435,F4,ID_3376
ID_3437,E4,ID_3376
ID_3439,F5,ID_3376
ID_3441,F3,ID_3376
ID_3443,A3,ID_3376
ID_3445,A2,ID_3376
ID_3447,B5,ID_3376
ID_3449,A4,ID_3376
ID_3451,B3,ID_3376
ID_3453,C4,ID_3376
ID_3455,C2,ID_3376
ID_3457,B4,ID_3376
ID_3459,N5,ID_3376
ID_3461,L4,ID_3376
ID_3463,L2,ID_3376
ID_3465,M3,ID_3376
ID_3467,N4,ID_3376
ID_3469,N3,ID_3376
ID_3471,M4,ID_3376
ID_3473,N2,ID_3376
ID_3475,B2,ID_3376
ID_3477,M2,ID_3376
ID_3479,C1,ID_3376
ID_3481,N1,ID_3376
ID_3483,B1,ID_3376
ID_3485,M1,ID_3376
ID_3487,H5,ID_3376
ID_3489,H10,ID_3490
ID_3491,H12,ID_3490
ID_3492,K15,ID_3490
ID_3493,L13,ID_3490
ID_3494,M16,ID_3490
ID_3495,N14,ID_3490
ID_3496,R11,ID_3490
ID_3497,T7,ID_3490
ID_3498,F7,ID_3490
ID_3499,F9,ID_3490
ID_3500,F11,ID_3490
ID_3501,G6,ID_3490
ID_3502,G8,ID_3490
ID_3503,G10,ID_3490
ID_3504,G11,ID_3490
ID_3505,G12,ID_3490
ID_3506,G14,ID_3490
ID_3507,G15,ID_3490
ID_3508,H7,ID_3490
ID_3509,H9,ID_3490
ID_3510,H13,ID_3490
ID_3511,H14,ID_3490
ID_3512,H15,ID_3490
ID_3513,J6,ID_3490
ID_3514,J8,ID_3490
ID_3515,J10,ID_3490
ID_3516,J11,ID_3490
ID_3517,J12,ID_3490
ID_3518,J13,ID_3490
ID_3519,K7,ID_3490
ID_3520,K9,ID_3490
ID_3521,K11,ID_3490
ID_3522,K12,ID_3490
ID_3523,K13,ID_3490
ID_3524,K14,ID_3490
ID_3525,L6,ID_3490
ID_3526,L8,ID_3490
ID_3527,L10,ID_3490
ID_3528,L11,ID_3490
ID_3529,L12,ID_3490
ID_3530,L14,ID_3490
ID_3531,L15,ID_3490
ID_3532,M7,ID_3490
ID_3533,M9,ID_3490
ID_3534,M11,ID_3490
ID_3535,M13,ID_3490
ID_3536,M14,ID_3490
ID_3537,M15,ID_3490
ID_3538,N6,ID_3490
ID_3539,N8,ID_3490
ID_3540,N10,ID_3490
ID_3541,N12,ID_3490
ID_3542,P7,ID_3490
ID_3543,P9,ID_3490
ID_3544,P11,ID_3490
ID_3545,P12,ID_3490
ID_3546,P13,ID_3490
ID_3547,P14,ID_3490
ID_3548,P15,ID_3490
ID_3549,R8,ID_3490
ID_3550,R10,ID_3490
ID_3551,R13,ID_3490
ID_3552,R14,ID_3490
ID_3553,R15,ID_3490
ID_3554,T9,ID_3490
ID_3555,T12,ID_3490
ID_3556,E12,ID_3490
ID_3557,F13,ID_3490
ID_3558,F14,ID_3490
ID_3559,K10,ID_3490
ID_3560,K16,ID_3490
ID_3561,A1,ID_3490
ID_3562,A5,ID_3490
ID_3563,A6,ID_3490
ID_3564,A21,ID_3490
ID_3565,C3,ID_3490
ID_3566,C10,ID_3490
ID_3567,C15,ID_3490
ID_3568,D1,ID_3490
ID_3569,E11,ID_3490
ID_3570,E13,ID_3490
ID_3571,F8,ID_3490
ID_3572,F10,ID_3490
ID_3573,F15,ID_3490
ID_3574,G1,ID_3490
ID_3575,G3,ID_3490
ID_3576,G7,ID_3490
ID_3577,G9,ID_3490
ID_3578,G16,ID_3490
ID_3579,H6,ID_3490
ID_3580,H8,ID_3490
ID_3581,H11,ID_3490
ID_3582,H20,ID_3490
ID_3583,H21,ID_3490
ID_3584,J7,ID_3490
ID_3585,J9,ID_3490
ID_3586,J14,ID_3490
ID_3587,K6,ID_3490
ID_3588,K8,ID_3490
ID_3589,L1,ID_3490
ID_3590,L3,ID_3490
ID_3591,L7,ID_3490
ID_3592,L9,ID_3490
ID_3593,L16,ID_3490
ID_3594,M6,ID_3490
ID_3595,M8,ID_3490
ID_3596,M10,ID_3490
ID_3597,M12,ID_3490
ID_3598,N7,ID_3490
ID_3599,N9,ID_3490
ID_3600,N11,ID_3490
ID_3601,N13,ID_3490
ID_3602,N15,ID_3490
ID_3603,P1,ID_3490
ID_3604,P6,ID_3490
ID_3605,P8,ID_3490
ID_3606,P10,ID_3490
ID_3607,P18,ID_3490
ID_3608,R7,ID_3490
ID_3609,R9,ID_3490
ID_3610,R12,ID_3490
ID_3611,T8,ID_3490
ID_3612,T10,ID_3490
ID_3613,T11,ID_3490
ID_3614,T15,ID_3490
ID_3615,T16,ID_3490
ID_3616,U3,ID_3490
ID_3617,V17,ID_3490
ID_3618,W10,ID_3490
ID_3619,W18,ID_3490
ID_3620,Y14,ID_3490
ID_3621,Y17,ID_3490
ID_3622,Y19,ID_3490
ID_3623,AA1,ID_3490
ID_3624,AA15,ID_3490
ID_3625,AA18,ID_3490
ID_3626,AA21,ID_3490
ID_3627,H16,ID_3490
ID_3628,D21,ID_3490
ID_3629,G13,ID_3490
ID_3630,F17,ID_3490
ID_3631,W15,ID_3490
ID_3632,V16,ID_3490
ID_3633,K2,ID_3490
ID_3634,K1,ID_3490
ID_3635,F12,ID_3490
