status,ball,soc_pin_name,net_name,candidate_signals,source_line,match_reason,interface_key,db_signal_name,db_device_pin_name,db_interface_name,dts_offset,mux_mode,linux_macro,result,confidence
ALT_FUNCTION_REVIEW,U4,PRG0_PRU0_GPO16,GPMC0_A4,PRG0_PRU0_GPO16,U1-U4 AM6412-PRG0_PRU0_GPO16 PASSIVE,soc_pin_name:PRG0_PRU0_GPO16; alternate function hinted by net name on same ball,PRU_ICSSG0_PRU0,PRG0_PRU0_GPO16,PRG0_PRU0_GPO16,PRU_ICSSG0_PRU0,0x01a0,0,AM64X_IOPAD,ALT_FUNCTION_REVIEW,MEDIUM
ALT_FUNCTION_REVIEW,U5,PRG0_PRU1_GPO15,GPMC0_A10,PRG0_PRU1_GPO15,U1-U5 AM6412-PRG0_PRU1_GPO15 PASSIVE,soc_pin_name:PRG0_PRU1_GPO15; alternate function hinted by net name on same ball,PRU_ICSSG0_PRU1,PRG0_PRU1_GPO15,PRG0_PRU1_GPO15,PRU_ICSSG0_PRU1,0x01ec,0,AM64X_IOPAD,ALT_FUNCTION_REVIEW,MEDIUM
ALT_FUNCTION_REVIEW,U6,PRG0_PRU1_GPO14,GPMC0_A9,PRG0_PRU1_GPO14,U1-U6 AM6412-PRG0_PRU1_GPO14 PASSIVE,soc_pin_name:PRG0_PRU1_GPO14; alternate function hinted by net name on same ball,PRU_ICSSG0_PRU1,PRG0_PRU1_GPO14,PRG0_PRU1_GPO14,PRU_ICSSG0_PRU1,0x01e8,0,AM64X_IOPAD,ALT_FUNCTION_REVIEW,MEDIUM
ALT_FUNCTION_REVIEW,V1,PRG0_PRU0_GPO18,GPMC0_A5,PRG0_PRU0_GPO18,U1-V1 AM6412-PRG0_PRU0_GPO18 PASSIVE,soc_pin_name:PRG0_PRU0_GPO18; alternate function hinted by net name on same ball,PRU_ICSSG0_PRU0,PRG0_PRU0_GPO18,PRG0_PRU0_GPO18,PRU_ICSSG0_PRU0,0x01a8,0,AM64X_IOPAD,ALT_FUNCTION_REVIEW,MEDIUM
MATCHED,V10,PRG1_PRU1_GPO12,CPSW_RGMII2_TXD1,PRG1_PRU1_GPO12,U1-V10 AM6412-PRG1_PRU1_GPO12 PASSIVE,soc_pin_name:PRG1_PRU1_GPO12; ball + TI symbol pin name matched SysConfig DB,PRU_ICSSG1_PRU1,PRG1_PRU1_GPO12,PRG1_PRU1_GPO12,PRU_ICSSG1_PRU1,0x0138,0,AM64X_IOPAD,PINMUX_DTS,HIGH
MATCHED,V11,PRG1_PRU1_GPO1,CPSW_RGMII2_RXD1,PRG1_PRU1_GPO1,U1-V11 AM6412-PRG1_PRU1_GPO1 PASSIVE,soc_pin_name:PRG1_PRU1_GPO1; ball + TI symbol pin name matched SysConfig DB,PRU_ICSSG1_PRU1,PRG1_PRU1_GPO1,PRG1_PRU1_GPO1,PRU_ICSSG1_PRU1,0x010c,0,AM64X_IOPAD,PINMUX_DTS,HIGH
MATCHED,V12,PRG1_PRU1_GPO19,CPSW_RGMII1_RXD3,PRG1_PRU1_GPO19,U1-V12 AM6412-PRG1_PRU1_GPO19 PASSIVE,soc_pin_name:PRG1_PRU1_GPO19; ball + TI symbol pin name matched SysConfig DB,PRU_ICSSG1_PRU1,PRG1_PRU1_GPO19,PRG1_PRU1_GPO19,PRU_ICSSG1_PRU1,0x0154,0,AM64X_IOPAD,PINMUX_DTS,HIGH
MATCHED,V13,PRG1_PRU0_GPO5,CPSW_RGMII1_RX_CTRL,PRG1_PRU0_GPO5,U1-V13 AM6412-PRG1_PRU0_GPO5 PASSIVE,soc_pin_name:PRG1_PRU0_GPO5; ball + TI symbol pin name matched SysConfig DB,PRU_ICSSG1_PRU0,PRG1_PRU0_GPO5,PRG1_PRU0_GPO5,PRU_ICSSG1_PRU0,0x00cc,0,AM64X_IOPAD,PINMUX_DTS,HIGH
MATCHED,V14,PRG1_PRU1_GPO9,CPSW_RGMII1_TXD1,PRG1_PRU1_GPO9,U1-V14 AM6412-PRG1_PRU1_GPO9 PASSIVE,soc_pin_name:PRG1_PRU1_GPO9; ball + TI symbol pin name matched SysConfig DB,PRU_ICSSG1_PRU1,PRG1_PRU1_GPO9,PRG1_PRU1_GPO9,PRU_ICSSG1_PRU1,0x012c,0,AM64X_IOPAD,PINMUX_DTS,HIGH
MATCHED,V15,PRG1_PRU1_GPO7,CPSW_RGMII1_TXD0,PRG1_PRU1_GPO7,U1-V15 AM6412-PRG1_PRU1_GPO7 PASSIVE,soc_pin_name:PRG1_PRU1_GPO7; ball + TI symbol pin name matched SysConfig DB,PRU_ICSSG1_PRU1,PRG1_PRU1_GPO7,PRG1_PRU1_GPO7,PRU_ICSSG1_PRU1,0x0124,0,AM64X_IOPAD,PINMUX_DTS,HIGH
